,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
40,P1,13/09/2025,20:30,Famalicao,Sp Lisbon,1,2,A,1,1,D,9,9,3,4,22,17,5,4,4,3,0,0,7.0,5.0,1.39
41,P1,14/09/2025,15:30,Estrela,Guimaraes,0,2,A,0,1,A,10,14,1,6,10,11,3,2,2,0,0,0,3.3,3.3,2.15
42,P1,14/09/2025,18:00,Arouca,Casa Pia,0,2,A,0,1,A,8,9,3,4,18,21,7,6,2,7,0,0,1.91,3.3,4.0
43,P1,14/09/2025,20:30,Sp Braga,Gil Vicente,0,1,A,0,1,A,11,12,7,5,7,12,5,7,2,3,0,0,1.46,4.33,6.25
44,P1,19/09/2025,20:15,Rio Ave,Porto,0,3,A,0,2,A,7,19,2,7,11,18,2,10,2,1,0,0,8.0,5.0,1.3
45,P1,20/09/2025,15:30,Nacional,Arouca,1,2,A,0,0,D,15,10,6,3,10,18,3,5,2,2,1,1,2.45,3.1,2.85
46,P1,20/09/2025,15:30,Santa Clara,Alverca,2,1,H,1,1,D,14,3,6,3,16,21,7,0,6,4,0,0,1.66,3.1,6.25
47,P1,20/09/2025,18:00,AVS,Benfica,0,3,A,0,1,A,8,19,1,6,17,11,2,1,1,1,0,0,15.0,6.5,1.15
48,P1,20/09/2025,20:30,Guimaraes,Sp Braga,1,1,D,1,1,D,11,17,3,5,14,15,3,5,2,3,0,0,2.85,3.3,2.35
49,P1,21/09/2025,15:30,Tondela,Estrela,0,0,D,0,0,D,17,8,8,3,16,13,5,2,4,3,1,0,2.25,2.85,3.6
50,P1,21/09/2025,18:00,Gil Vicente,Estoril,2,0,H,1,0,H,16,7,3,3,16,13,4,0,2,2,0,0,2.2,3.2,3.3
51,P1,21/09/2025,20:30,Casa Pia,Famalicao,1,1,D,0,0,D,10,11,3,2,18,21,5,3,1,2,0,0,3.4,3.0,2.25
52,P1,22/09/2025,20:15,Sp Lisbon,Moreirense,3,0,H,0,0,D,25,4,14,1,16,18,6,4,1,1,0,0,1.17,7.0,12.0
53,P1,23/09/2025,20:15,Benfica,Rio Ave,1,1,D,0,0,D,19,4,7,2,16,16,11,2,3,2,0,0,1.17,7.0,11.0
54,P1,26/09/2025,20:15,Benfica,Gil Vicente,2,1,H,2,1,H,10,16,4,8,14,20,0,7,3,4,0,1,1.3,4.5,10.0
55,P1,27/09/2025,15:30,Moreirense,Casa Pia,2,1,H,1,1,D,12,20,4,4,13,15,6,8,5,4,0,0,2.05,3.3,3.6
56,P1,27/09/2025,16:30,Santa Clara,Tondela,1,2,A,0,0,D,11,12,5,4,13,25,3,4,2,7,0,0,1.66,3.4,5.5
57,P1,27/09/2025,18:00,Estrela,AVS,3,0,H,3,0,H,11,11,6,2,11,20,6,6,3,2,1,1,2.05,3.1,3.8
58,P1,27/09/2025,20:30,Estoril,Sp Lisbon,0,1,A,0,1,A,7,9,2,2,13,12,3,9,4,2,0,0,9.5,5.5,1.25
59,P1,28/09/2025,15:30,Alverca,Guimaraes,2,0,H,1,0,H,11,19,4,3,15,17,1,5,3,0,1,0,3.2,3.4,2.15
60,P1,28/09/2025,18:00,Sp Braga,Nacional,0,1,A,0,1,A,9,13,1,5,4,7,6,3,0,2,0,0,1.39,4.33,7.5
61,P1,28/09/2025,20:30,Famalicao,Rio Ave,0,0,D,0,0,D,28,6,5,3,19,15,11,6,4,5,0,0,1.76,3.8,4.1
62,P1,29/09/2025,20:00,Arouca,Porto,0,4,A,0,1,A,13,16,3,5,13,8,5,8,5,3,0,1,7.5,4.75,1.35
63,P1,03/10/2025,20:15,Casa Pia,Estoril,2,2,D,2,1,H,11,10,5,3,14,12,6,7,3,3,0,0,2.5,3.3,2.65
64,P1,04/10/2025,15:30,Gil Vicente,Estrela,2,0,H,2,0,H,15,15,7,5,12,15,5,7,2,3,1,0,1.61,3.75,5.25
65,P1,04/10/2025,15:30,Nacional,Moreirense,3,2,H,1,1,D,17,10,7,4,12,16,2,4,1,3,0,1,2.32,3.1,3.1
66,P1,04/10/2025,18:00,AVS,Alverca,1,3,A,1,1,D,5,12,2,6,16,6,0,5,3,2,0,0,2.75,3.2,2.5
67,P1,04/10/2025,20:30,Guimaraes,Santa Clara,2,1,H,0,1,A,14,13,7,5,17,11,9,3,4,5,0,0,2.32,3.0,3.2
68,P1,05/10/2025,15:30,Arouca,Famalicao,1,1,D,0,0,D,7,14,3,5,22,12,4,11,5,1,1,0,3.6,3.25,2.01
69,P1,05/10/2025,17:30,Rio Ave,Tondela,3,0,H,2,0,H,13,13,7,3,15,15,6,7,7,4,1,1,2.25,3.4,3.0
70,P1,05/10/2025,19:15,Sp Lisbon,Sp Braga,1,1,D,1,0,H,13,11,3,5,19,12,1,5,4,5,0,0,1.41,4.33,7.0
71,P1,05/10/2025,21:15,Porto,Benfica,0,0,D,0,0,D,8,4,2,1,16,6,3,3,6,2,0,0,2.01,3.4,3.7
72,P1,24/10/2025,20:15,Alverca,Gil Vicente,0,4,A,0,2,A,6,12,2,5,12,18,1,4,3,4,0,1,2.95,3.2,2.32
73,P1,25/10/2025,18:00,Santa Clara,AVS,2,0,H,0,0,D,20,7,5,2,10,15,8,4,1,1,0,0,1.49,3.8,7.0
74,P1,25/10/2025,20:30,Benfica,Arouca,5,0,H,3,0,H,17,5,8,0,13,18,9,1,2,2,0,0,1.15,7.0,13.0
75,P1,25/10/2025,20:30,Estrela,Rio Ave,1,2,A,1,0,H,16,8,2,2,16,20,4,5,3,6,0,0,2.57,3.2,2.7
