Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
21/09/2024,14:30,Union Berlin,Hoffenheim,2,1,H,2.0,0.0,H,12.0,6.0,2.0,3.0,17.0,18.0,5.0,5.0,3.0,3.0,0.0,0.0,2.0,3.6,3.7
21/09/2024,14:30,Werder Bremen,Bayern Munich,0,5,A,0.0,2.0,A,0.0,25.0,0.0,7.0,4.0,13.0,1.0,4.0,0.0,3.0,0.0,0.0,8.0,5.5,1.36
21/09/2024,17:30,Ein Frankfurt,M'gladbach,2,0,H,1.0,0.0,H,14.0,22.0,4.0,7.0,10.0,12.0,8.0,5.0,1.0,1.0,0.0,0.0,1.75,4.0,4.33
22/09/2024,14:30,Leverkusen,Wolfsburg,4,3,H,2.0,3.0,A,20.0,8.0,7.0,4.0,6.0,14.0,6.0,2.0,4.0,5.0,0.0,1.0,1.3,5.75,8.0
22/09/2024,16:30,Stuttgart,Dortmund,5,1,H,2.0,0.0,H,16.0,6.0,9.0,3.0,10.0,6.0,6.0,4.0,1.0,3.0,0.0,0.0,2.3,3.75,2.9
22/09/2024,18:30,St Pauli,RB Leipzig,0,0,D,0.0,0.0,D,15.0,10.0,4.0,5.0,6.0,9.0,3.0,1.0,2.0,1.0,0.0,0.0,5.75,3.9,1.62
27/09/2024,19:30,Dortmund,Bochum,4,2,H,1.0,2.0,A,23.0,10.0,8.0,6.0,12.0,9.0,11.0,0.0,2.0,0.0,0.0,0.0,1.25,7.0,9.0
28/09/2024,14:30,Freiburg,St Pauli,0,3,A,0.0,2.0,A,6.0,10.0,2.0,4.0,7.0,18.0,4.0,2.0,3.0,3.0,0.0,0.0,1.62,4.0,5.5
28/09/2024,14:30,Mainz,Heidenheim,0,2,A,0.0,1.0,A,7.0,14.0,2.0,7.0,10.0,10.0,7.0,6.0,4.0,4.0,1.0,1.0,1.83,3.75,4.2
28/09/2024,14:30,M'gladbach,Union Berlin,1,0,H,0.0,0.0,D,8.0,9.0,3.0,3.0,10.0,12.0,2.0,4.0,3.0,1.0,0.0,0.0,2.1,3.5,3.4
28/09/2024,14:30,RB Leipzig,Augsburg,4,0,H,2.0,0.0,H,14.0,7.0,7.0,1.0,9.0,13.0,8.0,5.0,1.0,2.0,0.0,0.0,1.4,5.25,6.5
