Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
P1,13/02/2023,21:15,Boavista,Casa Pia,0,0,D,0,0,D,10,6,3,2,10,13,7,3,3,2,1,0,2.38,3.1,3.1
P1,17/02/2023,20:15,Gil Vicente,Vizela,1,1,D,0,0,D,16,13,6,4,16,11,10,2,5,4,1,0,2.38,3.4,2.8
P1,18/02/2023,18:00,Estoril,Pacos Ferreira,1,3,A,0,2,A,13,17,4,5,16,19,5,7,0,3,0,0,2.0,3.3,3.8
P1,18/02/2023,18:00,Portimonense,Maritimo,2,1,H,0,1,A,11,8,3,2,19,20,8,1,3,3,0,0,2.2,3.2,3.4
P1,18/02/2023,20:30,Porto,Rio Ave,1,0,H,1,0,H,14,11,4,4,19,17,8,2,2,3,0,0,1.17,7.0,15.0
P1,19/02/2023,15:30,Santa Clara,Famalicao,1,3,A,0,0,D,16,17,7,7,22,19,3,6,2,3,1,1,2.88,3.25,2.45
P1,19/02/2023,18:00,Sp Braga,Arouca,2,0,H,1,0,H,7,13,4,3,14,10,4,3,1,4,0,0,1.44,4.75,7.0
P1,19/02/2023,20:30,Casa Pia,Guimaraes,0,0,D,0,0,D,11,9,2,0,16,12,3,4,3,2,0,0,2.45,3.1,3.0
P1,20/02/2023,19:00,Chaves,Sp Lisbon,2,3,A,1,1,D,13,16,5,8,13,16,4,4,2,3,0,0,6.5,4.75,1.44
P1,20/02/2023,21:15,Benfica,Boavista,3,1,H,0,0,D,18,5,10,2,11,13,8,5,1,5,0,0,1.18,7.5,12.0
P1,24/02/2023,20:15,Famalicao,Portimonense,1,0,H,0,0,D,21,17,6,7,20,16,7,8,1,3,1,0,1.8,3.25,4.5
P1,25/02/2023,15:30,Arouca,Casa Pia,2,0,H,0,0,D,9,11,3,3,11,12,1,11,2,4,0,1,2.25,3.1,3.2
P1,25/02/2023,18:00,Maritimo,Santa Clara,3,1,H,0,1,A,26,11,7,6,9,19,9,4,3,5,0,0,2.1,2.9,3.6
P1,25/02/2023,20:30,Vizela,Benfica,0,2,A,0,1,A,9,11,3,6,14,10,6,5,4,2,1,0,7.5,4.75,1.36
P1,26/02/2023,15:30,Rio Ave,Chaves,1,0,H,0,0,D,10,11,3,6,17,12,4,8,5,3,0,0,2.1,3.25,3.25
P1,26/02/2023,18:00,Pacos Ferreira,Boavista,1,3,A,0,1,A,15,12,6,4,17,19,9,10,4,7,0,0,2.55,3.0,2.88
P1,26/02/2023,20:30,Porto,Gil Vicente,1,2,A,1,2,A,11,9,4,4,9,8,3,0,5,5,2,0,1.18,6.5,11.0
P1,27/02/2023,19:00,Sp Lisbon,Estoril,2,0,H,1,0,H,17,3,8,0,9,6,14,5,0,0,0,0,1.22,6.5,10.0
P1,27/02/2023,21:15,Guimaraes,Sp Braga,2,1,H,2,0,H,9,13,2,4,16,13,3,5,6,4,1,2,3.75,3.5,1.91
P1,03/03/2023,19:00,Boavista,Arouca,0,0,D,0,0,D,10,8,2,1,8,18,6,1,2,5,0,0,2.25,3.25,3.25
P1,03/03/2023,21:15,Benfica,Famalicao,2,0,H,1,0,H,19,7,7,0,13,13,7,2,1,3,0,0,1.17,8.5,13.0
P1,04/03/2023,15:30,Estoril,Vizela,0,3,A,0,2,A,10,6,2,3,11,15,8,0,3,0,0,0,2.63,3.2,2.63
P1,04/03/2023,18:00,Portimonense,Sp Lisbon,0,1,A,0,0,D,6,21,4,7,10,15,3,7,4,2,0,0,8.0,4.5,1.36
P1,04/03/2023,20:30,Chaves,Porto,1,3,A,0,2,A,13,13,4,5,19,19,4,8,9,5,2,0,11.0,5.0,1.29
P1,05/03/2023,15:30,Gil Vicente,Maritimo,2,0,H,1,0,H,11,19,5,6,16,11,12,8,3,3,0,0,1.85,3.6,4.0
P1,05/03/2023,18:00,Santa Clara,Guimaraes,1,3,A,0,3,A,16,11,5,6,16,9,7,6,3,2,0,0,3.0,3.1,2.5
P1,05/03/2023,20:30,Sp Braga,Rio Ave,2,0,H,1,0,H,21,10,11,4,9,9,9,4,1,0,0,0,1.44,4.2,8.0
P1,06/03/2023,20:15,Casa Pia,Pacos Ferreira,2,1,H,0,1,A,9,14,4,2,14,20,4,2,3,2,0,0,2.0,3.1,4.2
P1,10/03/2023,20:15,Porto,Estoril,3,2,H,2,1,H,12,9,5,3,22,11,6,3,3,5,0,1,1.18,6.5,13.0
P1,11/03/2023,15:30,Chaves,Portimonense,2,0,H,1,0,H,13,19,8,2,11,11,3,7,5,1,1,0,2.25,3.3,3.1
P1,11/03/2023,15:30,Pacos Ferreira,Santa Clara,1,0,H,0,0,D,15,11,4,4,15,13,9,2,5,6,0,0,2.38,3.25,3.0
P1,11/03/2023,18:00,Guimaraes,Arouca,0,2,A,0,0,D,25,9,8,4,8,7,12,0,3,3,0,0,2.0,3.4,3.75
P1,11/03/2023,20:30,Vizela,Sp Braga,0,4,A,0,1,A,13,13,1,7,7,10,3,3,2,2,0,0,3.8,3.6,1.95
P1,12/03/2023,15:30,Rio Ave,Gil Vicente,2,1,H,2,0,H,14,17,5,6,10,13,3,11,5,3,1,0,2.4,3.2,3.0
P1,12/03/2023,18:00,Maritimo,Benfica,0,3,A,0,1,A,8,21,2,10,8,12,2,10,2,2,0,0,9.0,6.5,1.25
P1,12/03/2023,20:30,Sp Lisbon,Boavista,3,0,H,2,0,H,16,2,5,0,10,8,4,1,2,1,0,0,1.25,5.75,12.0
P1,13/03/2023,20:15,Famalicao,Casa Pia,1,0,H,1,0,H,16,11,4,2,14,15,3,5,4,3,0,0,2.1,3.3,3.5
P1,17/03/2023,20:15,Santa Clara,Rio Ave,0,2,A,0,0,D,9,17,1,8,13,21,2,7,4,2,0,0,2.6,3.0,3.0
P1,18/03/2023,15:30,Portimonense,Vizela,0,1,A,0,0,D,15,9,3,2,12,17,4,6,2,2,1,0,2.88,3.2,2.55
P1,18/03/2023,18:00,Arouca,Pacos Ferreira,1,1,D,0,0,D,17,14,5,4,16,14,6,7,3,3,0,0,2.1,3.3,3.5
P1,18/03/2023,18:00,Benfica,Guimaraes,5,1,H,3,0,H,12,6,5,4,12,15,7,3,1,3,0,0,1.18,7.0,15.0
P1,18/03/2023,20:30,Estoril,Chaves,0,2,A,0,1,A,9,15,3,5,18,18,3,7,3,2,1,0,2.1,3.2,3.5
P1,19/03/2023,15:30,Casa Pia,Maritimo,2,0,H,1,0,H,16,17,5,3,13,15,5,10,2,0,0,1,2.05,3.1,4.0
P1,19/03/2023,18:00,Sp Braga,Porto,0,0,D,0,0,D,14,5,4,2,15,17,5,5,3,2,0,0,3.25,3.25,2.2
P1,19/03/2023,20:30,Boavista,Famalicao,1,2,A,0,0,D,16,7,6,3,29,15,9,1,1,1,0,0,2.38,3.2,3.0
P1,31/03/2023,20:15,Estoril,Gil Vicente,1,0,H,1,0,H,7,14,2,4,22,17,5,5,5,2,0,0,2.63,3.3,2.55
P1,01/04/2023,15:30,Vizela,Casa Pia,3,1,H,1,1,D,11,10,8,4,8,12,10,3,3,2,0,0,2.2,3.0,3.4
P1,01/04/2023,18:00,Guimaraes,Pacos Ferreira,0,0,D,0,0,D,17,9,3,4,19,11,5,4,2,5,0,1,1.95,3.3,3.8
P1,01/04/2023,20:30,Sp Lisbon,Santa Clara,3,0,H,2,0,H,14,10,5,4,11,16,6,2,0,5,0,0,1.13,7.0,19.0
P1,02/04/2023,15:30,Chaves,Sp Braga,1,2,A,1,1,D,14,17,8,8,12,9,7,5,5,3,0,0,4.75,3.8,1.67
P1,02/04/2023,15:30,Maritimo,Boavista,4,2,H,2,0,H,11,11,6,6,14,19,3,9,3,2,0,0,2.45,3.1,2.9
P1,02/04/2023,18:00,Rio Ave,Benfica,0,1,A,0,0,D,10,12,4,5,12,17,3,6,3,3,0,0,8.5,4.75,1.33
P1,02/04/2023,20:30,Porto,Portimonense,1,0,H,1,0,H,17,6,6,0,15,12,10,3,2,3,0,1,1.13,7.0,21.0
P1,03/04/2023,20:15,Famalicao,Arouca,0,1,A,0,0,D,18,9,1,2,11,17,7,1,1,1,0,0,1.85,3.3,3.75
P1,05/04/2023,20:15,Gil Vicente,Sp Lisbon,0,0,D,0,0,D,8,12,2,7,18,13,1,3,1,2,0,0,6.0,4.33,1.45
P1,07/04/2023,15:30,Santa Clara,Vizela,0,1,A,0,1,A,10,5,2,3,11,20,2,4,3,2,1,0,3.75,3.3,2.05
P1,07/04/2023,18:00,Benfica,Porto,1,2,A,1,1,D,7,7,1,3,13,15,4,5,3,5,0,0,1.95,3.5,3.8
P1,07/04/2023,20:30,Boavista,Guimaraes,2,1,H,1,0,H,12,10,4,4,20,17,7,7,7,6,0,2,2.5,3.1,2.88
P1,08/04/2023,15:30,Arouca,Maritimo,1,0,H,1,0,H,11,15,2,6,11,10,7,11,2,2,0,0,2.3,3.2,3.4
P1,08/04/2023,18:00,Pacos Ferreira,Famalicao,1,3,A,1,1,D,13,9,2,5,16,17,10,4,2,0,0,0,2.4,3.1,3.0
P1,08/04/2023,18:00,Portimonense,Rio Ave,2,2,D,0,1,A,17,18,6,8,21,14,8,4,5,1,0,0,2.6,3.0,2.88
P1,08/04/2023,20:30,Sp Braga,Estoril,4,1,H,1,0,H,16,6,6,3,14,5,7,2,3,2,0,0,1.3,5.0,9.0
P1,09/04/2023,18:00,Casa Pia,Sp Lisbon,3,4,A,2,2,D,8,20,5,12,12,6,1,18,3,0,1,0,8.5,4.5,1.4
P1,10/04/2023,20:15,Gil Vicente,Chaves,0,0,D,0,0,D,15,16,4,5,13,13,14,5,1,1,0,0,2.0,3.3,4.0
P1,14/04/2023,20:15,Famalicao,Guimaraes,2,1,H,1,0,H,10,16,3,5,14,14,3,10,1,3,1,1,2.2,3.0,3.6
P1,15/04/2023,15:30,Estoril,Portimonense,0,1,A,0,0,D,13,15,3,5,14,14,10,5,0,4,0,0,2.25,3.1,3.3
P1,15/04/2023,15:30,Maritimo,Pacos Ferreira,3,1,H,2,0,H,12,7,6,3,19,15,2,5,4,4,0,0,2.15,3.3,3.3
P1,15/04/2023,18:00,Chaves,Benfica,1,0,H,0,0,D,9,19,2,4,13,7,3,19,4,0,0,0,8.0,5.75,1.29
P1,15/04/2023,20:30,Porto,Santa Clara,2,1,H,1,0,H,12,8,4,2,13,13,4,4,2,5,0,0,1.11,8.5,21.0
P1,16/04/2023,15:30,Rio Ave,Casa Pia,1,1,D,0,1,A,10,7,4,2,10,20,5,8,1,3,0,0,2.25,3.0,3.4
P1,16/04/2023,18:00,Sp Braga,Gil Vicente,1,0,H,1,0,H,19,10,10,3,11,9,10,5,2,1,0,0,1.36,5.0,8.0
P1,16/04/2023,20:30,Sp Lisbon,Arouca,1,1,D,0,1,A,26,4,5,2,8,11,7,0,0,0,0,0,1.2,7.0,12.0
P1,17/04/2023,20:15,Vizela,Boavista,1,1,D,0,0,D,9,14,5,6,9,16,8,3,2,4,0,0,1.85,3.4,4.33
P1,21/04/2023,20:15,Casa Pia,Sp Braga,0,1,A,0,0,D,6,15,1,6,13,8,3,6,3,2,0,0,5.25,3.6,1.6
P1,22/04/2023,15:30,Famalicao,Maritimo,3,2,H,0,2,A,25,8,7,6,12,15,9,4,3,3,0,1,1.83,3.4,4.0
P1,22/04/2023,18:00,Boavista,Rio Ave,3,2,H,3,1,H,14,7,6,3,19,18,2,2,1,2,0,1,2.3,3.2,3.1
P1,22/04/2023,20:30,Pacos Ferreira,Porto,0,2,A,0,0,D,8,10,0,4,18,14,2,5,5,1,1,0,10.0,5.0,1.29
P1,23/04/2023,15:30,Portimonense,Gil Vicente,1,0,H,0,0,D,10,20,4,4,12,8,1,12,1,2,0,0,2.45,3.3,2.7
P1,23/04/2023,18:00,Benfica,Estoril,1,0,H,1,0,H,19,4,5,0,18,16,11,2,2,2,0,0,1.09,9.0,21.0
P1,23/04/2023,18:00,Santa Clara,Chaves,1,1,D,0,0,D,19,13,6,5,12,8,2,12,3,3,0,1,2.6,3.1,2.75
P1,23/04/2023,20:30,Arouca,Vizela,1,0,H,1,0,H,7,15,2,8,16,10,0,14,0,1,0,0,2.63,3.2,2.75
P1,24/04/2023,20:15,Guimaraes,Sp Lisbon,0,2,A,0,0,D,7,13,0,5,13,15,5,5,1,0,0,0,5.5,4.0,1.55
P1,28/04/2023,20:15,Rio Ave,Arouca,1,0,H,0,0,D,11,11,2,2,16,16,4,4,4,3,1,0,2.45,3.0,3.1
P1,29/04/2023,15:30,Maritimo,Guimaraes,1,2,A,0,1,A,21,11,6,5,15,18,5,3,4,3,0,0,2.55,3.25,2.88
P1,29/04/2023,15:30,Sp Braga,Portimonense,4,1,H,3,1,H,18,8,11,2,9,12,4,0,1,5,0,0,1.25,6.0,10.0
P1,29/04/2023,18:00,Chaves,Casa Pia,1,0,H,1,0,H,16,16,5,4,17,14,10,3,3,4,0,0,,,
P1,29/04/2023,18:00,Vizela,Pacos Ferreira,1,2,A,0,2,A,14,7,3,2,12,16,7,8,2,3,0,0,1.8,3.4,4.5
P1,29/04/2023,20:30,Gil Vicente,Benfica,0,2,A,0,0,D,13,17,5,7,17,8,7,11,3,2,0,0,8.0,5.5,1.33
P1,30/04/2023,15:30,Estoril,Santa Clara,3,0,H,2,0,H,7,10,3,3,16,14,3,4,4,3,0,0,2.15,3.2,3.4
P1,30/04/2023,18:00,Porto,Boavista,1,0,H,0,0,D,10,7,1,2,13,25,6,4,2,5,1,0,1.18,6.5,15.0
P1,30/04/2023,20:30,Sp Lisbon,Famalicao,2,1,H,1,0,H,11,10,5,2,13,15,8,4,2,3,0,0,1.3,5.5,10.0
P1,05/05/2023,20:15,Casa Pia,Portimonense,1,1,D,0,0,D,17,10,3,2,18,11,4,4,2,0,0,0,2.05,3.2,3.5
P1,06/05/2023,15:30,Santa Clara,Gil Vicente,3,2,H,2,0,H,14,15,8,3,12,9,4,5,0,3,0,0,2.8,3.1,2.5
P1,06/05/2023,18:00,Boavista,Estoril,1,0,H,0,0,D,13,6,3,2,13,12,6,3,2,4,1,0,2.0,3.3,3.6
P1,06/05/2023,20:30,Benfica,Sp Braga,1,0,H,0,0,D,20,5,4,0,8,10,7,1,3,4,0,0,1.55,4.2,5.5
P1,07/05/2023,15:30,Maritimo,Rio Ave,2,2,D,1,2,A,28,7,6,3,21,10,13,1,3,0,0,0,2.3,3.1,3.1
P1,07/05/2023,18:00,Guimaraes,Vizela,3,0,H,2,0,H,13,6,5,0,24,16,6,4,1,2,0,0,2.2,3.2,3.2
P1,07/05/2023,20:30,Pacos Ferreira,Sp Lisbon,0,4,A,0,2,A,7,16,0,8,12,11,0,6,1,1,0,0,7.0,5.0,1.36
P1,08/05/2023,19:00,Famalicao,Chaves,1,2,A,0,0,D,19,12,6,3,15,15,11,6,2,3,0,0,1.95,3.3,3.75
P1,08/05/2023,21:15,Arouca,Porto,0,1,A,0,1,A,8,12,2,4,17,12,1,8,1,2,0,0,7.5,4.75,1.36
P1,12/05/2023,20:15,Gil Vicente,Boavista,3,1,H,1,0,H,15,16,3,5,18,13,7,6,3,6,0,0,2.3,3.3,2.8
P1,13/05/2023,15:30,Chaves,Pacos Ferreira,2,0,H,0,0,D,16,16,0,3,12,14,5,8,0,4,0,1,2.05,3.4,3.3
P1,13/05/2023,15:30,Vizela,Famalicao,0,0,D,0,0,D,10,15,4,3,18,17,2,7,3,5,0,1,2.3,3.3,2.75
P1,13/05/2023,18:00,Portimonense,Benfica,1,5,A,1,3,A,5,24,1,10,12,12,3,5,2,1,0,0,10.0,5.75,1.22
P1,13/05/2023,20:30,Sp Lisbon,Maritimo,2,1,H,0,1,A,15,2,3,1,11,10,9,1,6,7,1,0,1.2,6.5,9.5
P1,14/05/2023,15:30,Rio Ave,Guimaraes,0,1,A,0,0,D,12,9,3,3,15,14,9,8,0,0,0,0,2.45,3.1,2.7
P1,14/05/2023,18:00,Sp Braga,Santa Clara,5,3,H,3,1,H,17,12,9,8,15,16,11,6,3,4,0,0,1.2,5.75,12.0
P1,14/05/2023,20:30,Porto,Casa Pia,2,1,H,0,1,A,19,8,8,2,8,11,13,3,1,3,0,0,1.17,6.0,13.0
P1,15/05/2023,20:15,Estoril,Arouca,2,0,H,0,0,D,10,16,4,4,16,23,4,2,1,2,0,0,2.45,3.1,2.8
P1,19/05/2023,20:15,Maritimo,Vizela,1,0,H,0,0,D,18,9,5,3,19,9,5,6,2,4,0,0,1.73,3.75,4.5
P1,20/05/2023,15:30,Arouca,Chaves,1,0,H,0,0,D,11,9,6,3,16,11,4,6,2,3,0,0,2.15,3.25,3.2
P1,20/05/2023,15:30,Santa Clara,Portimonense,1,0,H,1,0,H,21,2,3,0,15,17,9,6,2,4,0,0,2.2,3.2,3.0
P1,20/05/2023,18:00,Boavista,Sp Braga,1,1,D,0,0,D,6,10,1,1,11,13,2,3,1,5,0,0,5.5,4.0,1.53
P1,20/05/2023,20:30,Famalicao,Porto,2,4,A,2,2,D,7,11,5,7,14,22,1,1,5,3,0,0,6.0,4.33,1.4
P1,21/05/2023,15:30,Guimaraes,Gil Vicente,1,0,H,0,0,D,15,11,5,2,10,15,3,6,3,2,0,0,1.7,3.6,4.33
P1,21/05/2023,18:00,Casa Pia,Estoril,2,2,D,0,0,D,25,12,10,3,11,18,3,3,5,6,0,0,2.05,3.25,3.4
P1,21/05/2023,18:00,Pacos Ferreira,Rio Ave,3,1,H,1,1,D,9,14,5,7,16,13,5,6,3,3,0,0,2.45,3.2,2.63
P1,21/05/2023,20:30,Sp Lisbon,Benfica,2,2,D,2,0,H,13,19,7,4,13,15,7,7,2,2,0,0,2.55,3.3,2.5
P1,26/05/2023,19:00,Rio Ave,Famalicao,2,2,D,0,2,A,22,11,5,2,22,10,8,4,4,4,0,1,2.9,3.25,2.4
P1,26/05/2023,21:15,Vizela,Sp Lisbon,1,2,A,1,1,D,6,13,3,2,8,9,2,8,2,4,0,0,6.5,4.75,1.45
P1,27/05/2023,12:45,Gil Vicente,Casa Pia,1,0,H,0,0,D,11,13,5,6,11,12,4,1,1,1,0,1,2.2,3.4,3.2
P1,27/05/2023,15:30,Chaves,Boavista,1,4,A,0,2,A,10,20,5,3,11,10,1,4,5,1,3,0,2.1,3.5,3.4
P1,27/05/2023,15:30,Estoril,Maritimo,3,1,H,1,0,H,12,18,3,6,19,18,4,5,2,5,0,2,2.25,3.3,3.2
P1,27/05/2023,18:00,Benfica,Santa Clara,3,0,H,2,0,H,9,9,4,6,14,14,4,4,1,1,0,0,1.06,10.0,29.0
P1,27/05/2023,18:00,Portimonense,Arouca,0,2,A,0,0,D,10,16,3,6,13,9,3,7,1,0,0,0,2.88,3.5,2.3
P1,27/05/2023,18:00,Porto,Guimaraes,3,0,H,3,0,H,20,4,6,0,14,14,8,2,2,6,0,1,1.22,6.5,11.0
P1,27/05/2023,20:30,Sp Braga,Pacos Ferreira,3,0,H,2,0,H,20,12,4,1,9,10,6,9,0,1,0,0,1.22,6.5,11.0
