comprensive,amount,fibre_tensile,aspec_ratio,fr1,fr2
50,29.83,1100,56,2.68,2.84
50,44.745,1100,56,4.64,5.19
60,59.66,1100,56,5.38,5.95
75,29.83,1100,56,4,4.24
70,44.745,1100,56,6.06,6.67
75,59.66,1100,56,8.12,8.33
55,29.83,1230,44,2.38,2.21
50,44.745,1230,44,3.75,3.63
50,59.66,1230,44,4.64,4.54
75,29.83,1230,44,3.46,3
75,44.745,1230,44,5.08,4.56
75,59.66,1230,44,7.6,6.25
55,29.83,1230,67,2.93,2.95
50,44.745,1230,67,4.72,5.22
60,59.66,1230,67,5.98,6.43
75,29.83,1230,67,4.73,4.44
75,44.745,1230,67,6.1,6.33
70,59.66,1230,67,7.99,8.23
50,29.83,1450,56,2.62,2.75
50,44.745,1450,56,4.9,5.57
60,59.66,1450,56,6.36,6.52
75,29.83,1450,56,4.51,4.83
75,44.745,1450,56,6.42,6.97
75,59.66,1450,56,9.2,9.72
50,29.83,1500,67,3.88,4.45
50,44.745,1500,67,6.27,6.63
50,59.66,1500,67,7.32,8.02
75,29.83,1500,67,5.35,6.12
80,44.745,1500,67,6.89,7.97
75,59.66,1500,67,8.81,9.67
50,29.83,1500,50,2.53,2.25
50,44.745,1500,50,3.48,3.62
55,59.66,1500,50,5.74,4.54
75,29.83,1500,50,4.12,3.97
75,44.745,1500,50,5.13,5.22
75,59.66,1500,50,6.33,6.14
70,29.83,1900,56,4.36,5.83
75,44.745,1900,56,6.86,7.8
75,59.66,1900,56,10.65,9.51
70,29.83,2000,67,5.72,6.55
70,44.745,2000,67,7.79,9.36
75,59.66,2000,67,9.05,10.96
45,25.12,1130,50,1.71,1.23
40,29.83,1100,63,1.94,2.09
40,29.83,1100,50,2.14,2.05
45,29.83,1100,60,2.11,1.85
45,29.83,1100,45,2.4,1.59
70,39.25,2300,65,5.76,7.7
85,39.25,2300,65,7.21,8.9
90,39.25,3000,80,7.26,7.75
90,78.5,2300,65,10.84,11.49
90,78.5,3000,80,12.38,11.78
60,40.035,2500,100,5.68,5.14
50,39.25,1270,48,5,4.04
30,78.5,1270,48,5.79,4.4
45,78.5,1270,48,5.09,3.42
50,39.25,1270,48,4.12,3.35
35,78.5,1270,48,5.43,4.36
40,78.5,1345,64,6.92,6.16
60,39.25,1345,64,6.61,3.5
30,78.5,1345,64,9.94,7.22
55,39.25,1345,64,7.27,5.91
45,78.5,1345,64,9.49,8.12
50,39.25,1345,64,5.35,5.42
55,78.5,1345,64,10.46,9.16
45,39.25,1345,64,4.83,5.19
45,78.5,1345,64,6.8,5.86
50,39.25,1345,64,4.57,4.77
45,78.5,1345,64,7.38,6.85
50,25.12,1345,64,2.04,2.05
50,25.12,1345,64,1.44,1.53
55,78.5,1345,64,7.58,6.97
55,78.5,1345,64,3.55,2.92
65,39.25,1500,75,7.75,8.37
65,39.25,1500,75,1.73,2.08
60,39.25,1500,100,8.31,9.7
60,39.25,1500,100,1.99,2.65
55,39.25,3100,60,7.24,6.86
50,59.66,3100,60,7.64,7.19
45,25.12,1100,55,2.62,2.09
45,25.12,1100,75,2.77,3.59
38.6,20,1200,66.7,2.38,2.76
37.3,40,1200,66.7,5.29,7
36,60,1200,66.7,7.29,8.04
41.1,80,1200,66.7,6.82,9.51
38.9,20,1200,66.7,3.26,4.26
39.7,40,1200,66.7,4.89,6.47
38.1,60,1200,66.7,6.16,7.21
39.7,80,1200,66.7,9.08,8.94
41.9,20,1200,66.7,3.32,5.68
42.5,40,1200,66.7,5.42,7.6
40.4,60,1200,66.7,6.2,8.25
39.7,80,1200,66.7,9.35,12.2
28.1,40,1200,66.7,4.62,6.57
56.1,40,1200,66.7,5.51,8.61
46.1,20,1200,66.7,3.31,3.78
46.7,40,1200,66.7,6.21,7.54
48,60,1200,66.7,6.61,8.22
48.5,80,1200,66.7,8.29,9.76
45.4,40,1200,80,6.06,5.16
47.6,40,1200,63.6,6.23,7.88
60,20,3096,80,2.67,4.88
20,40,3096,80,5.33,6.75
40,60,3096,80,10.27,10.23
60,20,2520,80,3.92,5.72
20,40,2520,80,5.75,8.75
40,60,2520,80,9,10.57
20,30,1340,63.6,4.93,3.33
40,60,1340,63.6,7.46,5.68
20,40,2520,66.7,3.4,3.62
49.35,25,1345,65,2.7,2.95
49.35,40,1345,65,2.95,3.07
49.35,60,1345,65,3.62,4.15
61.1,60,1225,65,5.26,4.15
65.7,60,1225,65,9.36,6.89
65.4,60,1225,65,10.46,6.24
65.9,60,1225,65,8.55,5.55
59.5,60,1225,65,8.96,5.96
63.5,60,1225,65,6.64,4.77
70,60,1225,65,8.1,4.68
65,60,1225,65,6.45,4.75
60.5,19.6,1270,45,1.74,1.08
60.5,19.6,1270,65,1.88,1.55
60.5,19.6,1270,80,2.59,2.08
60.5,39.5,1270,45,4.71,3.6
60.5,39.5,1270,65,4.1,3.33
60.5,39.5,1270,80,5.25,4.4
60.5,78.5,1270,45,6.39,3.77
60.5,78.5,1270,65,6.99,6.45
60.5,78.5,1270,80,10.85,10.75
59,20,1225,80,2.26,2.23
59,40,1225,80,3.79,4.55
59,20,2300,65,1.85,2.48
59,40,2300,65,3.62,5.72
31.4,78.5,1345,64,9.94,7.22
51.2,25,1345,64,2.04,2.05
55.2,39.25,1345,64,7.27,5.91
58.7,39.25,1345,64,6.61,3.5
58.7,78.5,1345,64,7.58,6.97
63,39.25,1500,75,7.75,8.37
61.1,39.25,1500,100,8.31,9.87
35,15,1225,80,1.88,1.67
35,30,1225,80,3.34,3.07
35,45,1225,80,6.04,5.17
73,40,1270,45,4.19,1.14
73,80,1270,45,9.16,4.4
73,40,1225,80,7.68,2.85
73,80,1225,80,11.53,6.09
71.8,20,3096,79,2.81,4.95
68.8,20,2520,84.5,3.98,5.75
68.4,40,3096,78.9,5.41,7.06
73.2,40,2520,84.5,5.81,8.73
65.1,60,3096,78.94,10.25,10.26
64.7,60,2520,84.5,9.01,10.71
45.6,25,1100,62.5,2.9,2.61
44.9,40,1100,62.5,4.59,4.81
44.1,40,3100,85.7,7.25,6.86
30.4,25,3100,85.7,3.96,3.48
46.6,25,3100,85.7,4.2,4.02
32.1,50,3100,62.5,5.4,5
33.1,75,3100,62.5,6,6
39.7,39.25,1270,48.39,5,4.05
25.4,78.5,1270,48.39,5.79,4.4
36.4,78.5,1270,48.39,5.09,3.42
75.7,39.25,2300,78.95,8.98,6.74
52.8,78.5,2300,78.95,10.08,8.79
40.8,39.25,1270,48.39,4.12,3.35
27.4,78.5,1270,48.39,5.43,4.36
59.5,39.25,1100,65,4.2,3.7
63.24,78.5,1100,65,7.1,7.2
60.61,39.25,1400,65,4.1,4.2
61.54,78.5,1400,65,8.5,9.8
61.97,39.25,2100,65,5.1,6
62.13,78.5,2100,65,9.3,10.8
47.45,40.035,1345,65,3.4,2.2
46.79,80.855,1345,65,5.1,4.2
48.52,40.035,1160,65,5.6,4.6
48.24,80.855,1160,65,5.8,5.1
49.75,40.035,1500,65,4.9,3.6
48.67,80.855,1500,65,8,7.1
49.85,40.035,2300,65,4.9,4.5
50.5,80.855,2300,65,2.2,11.9
24.5,20.41,1160,60,2.1,1.4
27.2,40.035,1160,60,4.2,4.4
24.5,60.445,1160,60,6.8,6.1
26.6,20.41,1500,60,2.4,3.3
23.2,40.035,1500,60,3.3,4.7
21.5,60.445,1500,60,5.5,6.2
24.2,20.41,2300,60,3.3,3.9
28.1,40.035,2300,60,6.1,7
28.3,60.445,2300,60,7.6,8.4
26.4,19.625,1200,95,2.7,2.6
26.4,39.25,1200,95,3.1,3.2
26.4,29.4375,1200,95,4.3,4.3
36.3,19.625,1200,95,2.5,2.2
36.3,39.25,1200,95,3.7,3.5
36.3,29.4375,1200,95,3.8,4
47.6,19.625,1200,95,4.3,2.2
47.6,39.25,1200,95,4.6,2.7
47.6,29.4375,1200,95,6.2,3.4
38.6,21.98,1200,60,2.4,2.8
37.3,43.175,1200,60,5.3,7
36,65.155,1200,60,7.3,8
41.1,86.35,1200,60,6.8,9.5
38.9,21.98,1200,60,3.3,4.3
39.7,43.175,1200,60,4.9,6.5
38.1,65.155,1200,60,6.2,7.2
39.7,86.35,1200,60,9.1,8.9
41.9,21.98,1200,60,3.3,5.7
42.5,43.175,1200,60,5.4,7.6
40.4,57.305,1200,60,6.2,8.3
39.7,86.35,1200,60,9.4,12.2
28.1,44.745,1200,60,4.6,6.6
56.1,44.745,1200,60,5.5,8.6
46.1,21.98,1200,60,3.3,3.8
46.7,44.745,1200,60,6.2,7.5
48,66.725,1200,60,6.6,8.2
48.5,88.705,1200,60,8.3,9.8
45.4,44.745,1200,60,6.1,5.2
47.6,44.745,1200,60,6.2,7.9
45.9,29.83,1200,80,4,2.6
34.7,34.54,1225,80,3,3
48.5,40.035,1225,80,3.3,2.4
56.5,31.4,1100,80,3.5,2.5
56.5,31.4,1100,80,3.8,2.5
56.5,31.4,1100,80,4.6,2.6
56.5,31.4,1100,80,4.7,2.7
56.5,31.4,1100,80,4.8,2.8
56.5,31.4,1100,80,4.9,2.9
56.5,31.4,1100,80,4.9,3.1
56.5,31.4,1100,80,5.3,4.1
25,20,1200,95,2.666,2.602
35,35,1200,95,3.139,3.191
45,40,1200,95,4.337,4.33
25,20,1200,95,2.464,2.235
35,35,1200,95,3.71,3.463
45,40,1200,95,3.825,4.041
25,20,1200,95,4.33,2.232
35,35,1200,95,4.647,2.686
45,40,1200,95,6.178,3.398

