J,HomeTeam,FTHG,FTAG,AwayTeam,HRC,HYC,HOS,HCH,HKC,HGT,ARC,AYC,AOS,ACH,AKC,AGT,Time
14,NEC,3,0,ASL,0,3,0,5,1,3,0,3,1,4,4,11,18
14,AME,2,1,TIG,1,3,0,3,8,7,1,4,3,2,2,7,20
14,PUE,2,1,SAN,0,1,0,4,3,3,0,1,1,3,4,9,12
14,GDL,2,0,ATL,0,1,3,4,3,4,0,0,1,4,3,4,16
14,QRO,2,2,PUM,0,3,1,5,2,9,0,6,2,5,1,2,15
14,MON,2,1,JUA,0,2,0,5,6,8,0,4,2,5,1,3,20
15,TIJ,0,0,PAC,0,0,9,4,4,5,0,1,2,3,3,8,19
15,CAZ,0,0,QRO,0,1,2,2,9,6,0,1,3,5,2,8,15
15,MZA,3,1,NEC,0,3,1,3,3,4,0,1,2,5,4,6,18
15,SAN,0,3,AME,0,1,1,4,4,1,0,0,3,4,16,6,20
15,LEN,2,3,PUM,0,1,5,4,14,9,1,2,1,4,3,3,17
15,TOL,2,2,MON,0,0,0,4,4,6,0,2,0,5,3,6,12
15,ASL,0,4,ATL,0,2,0,5,4,1,0,2,2,5,4,3,17
15,GDL,3,0,PUE,0,1,0,5,9,6,0,0,1,3,3,2,17
15,TIG,0,0,JUA,1,2,2,3,4,5,1,3,0,5,2,2,19

