,LocalFavor,VisitFavor,LocalContra,VisitContra,LocalRoja,VisitRoja,LocalAmarilla,VisitAmarilla,LocalCorner,VisitCorner,LocalTiros,VisitTiros,LocalFaltas,VisitFaltas,Resultado,FTG,Corner10,Ambos,UO_0.5,UO_1.5,UO_2.5,UO_3.5,UO_4.5
239,2.8,0.9,1.3,1.6,0.0,0.1,0.9,2.2,7.0,3.9,6.5,3.3,9.6,11.1,1,4,-1,0,1,1,1,1,0
240,2.4,0.6,0.9,2.0,0.1,0.1,1.5,2.0,6.8,4.5,5.9,2.6,10.6,12.5,1,2,-1,0,1,1,0,0,0
241,3.2,1.7,0.9,1.0,0.1,0.0,1.0,1.5,7.3,6.1,6.2,4.6,9.1,10.4,1,2,1,0,1,1,0,0,0
242,2.8,0.9,1.3,2.3,0.0,0.0,0.9,2.0,7.0,3.3,6.5,3.2,9.6,9.9,1,5,1,1,1,1,1,1,1
243,1.7,1.0,1.1,1.4,0.0,0.1,1.9,2.4,4.8,4.5,4.6,3.6,10.1,12.0,1,1,-1,0,1,0,0,0,0
244,1.9,0.8,1.1,1.6,0.0,0.0,1.7,1.3,7.5,5.3,7.1,3.6,10.9,10.4,1,4,0,0,1,1,1,1,0
245,1.1,1.2,1.0,2.2,0.1,0.1,2.0,2.4,6.2,4.7,4.1,3.4,10.3,11.7,1,1,1,0,1,0,0,0,0
246,1.0,1.7,1.1,2.0,0.2,0.1,2.4,1.8,5.3,4.5,3.9,4.5,11.9,10.3,1,1,1,0,1,0,0,0,0
247,1.0,1.5,1.9,2.2,0.0,0.0,1.4,1.6,4.6,3.6,4.2,3.8,10.5,10.6,1,1,-1,0,1,0,0,0,0
248,1.4,0.9,1.3,1.6,0.0,0.1,2.6,2.2,2.6,3.9,3.7,3.3,12.0,11.1,0,4,-1,1,1,1,1,1,0
249,2.4,1.2,0.9,1.7,0.1,0.0,1.5,2.3,6.8,4.3,5.9,5.1,10.6,11.2,1,7,-1,0,1,1,1,1,1
250,1.8,1.3,0.9,1.3,0.1,0.0,1.5,2.8,4.9,4.2,5.2,3.6,8.9,11.5,1,5,-1,1,1,1,1,1,1
251,1.1,1.5,1.5,1.6,0.0,0.0,1.6,1.5,4.3,5.6,3.8,5.3,10.7,10.7,1,1,1,0,1,0,0,0,0
252,0.8,1.2,1.4,1.5,0.1,0.0,1.9,1.4,5.3,3.7,4.7,3.3,9.8,9.7,1,1,1,0,1,0,0,0,0
253,1.4,1.8,1.9,1.7,0.1,0.0,2.0,1.4,5.8,4.7,4.2,5.1,12.3,11.5,0,4,1,1,1,1,1,1,0
254,1.2,0.9,1.4,1.5,0.1,0.1,1.4,2.1,3.5,4.8,4.2,4.3,11.0,10.6,0,4,-1,1,1,1,1,1,0
255,1.9,0.6,1.3,2.3,0.1,0.0,2.2,1.8,6.2,4.1,6.1,2.5,11.9,11.4,1,4,1,1,1,1,1,1,0
256,1.1,1.8,1.2,0.8,0.1,0.0,1.7,1.3,5.3,5.4,3.5,5.3,11.5,9.2,0,1,-1,0,1,0,0,0,0
257,1.6,1.8,1.5,0.9,0.1,0.0,1.4,1.8,5.6,4.7,4.3,4.3,10.2,10.0,0,3,1,0,1,1,1,0,0
258,1.9,0.9,0.5,1.9,0.1,0.0,1.8,2.5,5.9,3.6,6.2,3.3,11.1,12.1,0,0,1,0,0,0,0,0,0
259,1.4,0.9,1.3,1.3,0.0,0.1,1.0,2.3,5.6,3.9,4.1,3.3,8.6,11.9,0,2,1,1,1,1,0,0,0
260,1.9,0.6,0.7,2.0,0.1,0.1,1.5,2.0,8.2,4.5,5.8,2.6,10.9,12.5,1,3,1,1,1,1,1,0,0
261,1.9,1.0,1.1,1.4,0.0,0.1,1.7,2.4,7.5,4.5,7.1,3.6,10.9,12.0,1,1,-1,0,1,0,0,0,0
262,1.0,1.2,1.9,1.5,0.0,0.0,1.4,1.4,4.6,3.7,4.2,3.3,10.5,9.7,0,2,-1,0,1,1,0,0,0
263,1.4,1.7,1.3,1.0,0.0,0.0,2.6,1.5,2.6,6.1,3.7,4.6,12.0,10.4,0,3,0,1,1,1,1,0,0
264,1.7,0.9,1.1,2.3,0.0,0.0,1.9,2.0,4.8,3.3,4.6,3.2,10.1,9.9,1,3,1,0,1,1,1,0,0
265,1.8,1.5,0.9,2.2,0.1,0.0,1.5,1.6,4.9,3.6,5.2,3.8,8.9,10.6,0,2,1,1,1,1,0,0,0
266,1.0,1.7,1.9,2.0,0.0,0.1,1.4,1.8,4.6,4.5,4.2,4.5,10.5,10.3,0,6,1,1,1,1,1,1,1
267,1.0,1.2,1.1,2.2,0.2,0.1,2.4,2.4,5.3,4.7,3.9,3.4,11.9,11.7,0,6,-1,1,1,1,1,1,1
268,1.1,0.9,1.0,1.6,0.1,0.1,2.0,2.2,6.2,3.9,4.1,3.3,10.3,11.1,0,4,0,1,1,1,1,1,0
269,2.8,1.0,1.3,1.4,0.0,0.1,0.9,2.4,7.0,4.5,6.5,3.6,9.6,12.0,1,5,-1,1,1,1,1,1,1
270,3.2,1.5,0.9,1.6,0.1,0.0,1.0,1.5,7.3,5.6,6.2,5.3,9.1,10.7,1,5,-1,1,1,1,1,1,1
271,2.8,1.2,1.3,2.2,0.0,0.1,0.9,2.4,7.0,4.7,6.5,3.4,9.6,11.7,1,5,-1,1,1,1,1,1,1
272,1.1,1.3,1.5,1.3,0.0,0.0,1.6,2.8,4.3,4.2,3.8,3.6,10.7,11.5,1,3,-1,1,1,1,1,0,0
273,1.9,1.2,1.1,1.5,0.0,0.0,1.7,1.4,7.5,3.7,7.1,3.3,10.9,9.7,0,6,1,1,1,1,1,1,1
274,1.1,1.5,1.2,2.2,0.1,0.0,1.7,1.6,5.3,3.6,3.5,3.8,11.5,10.6,1,3,1,1,1,1,1,0,0
