,LocalFavor,VisitFavor,LocalContra,VisitContra,LocalRoja,VisitRoja,LocalAmarilla,VisitAmarilla,LocalCorner,VisitCorner,LocalTiros,VisitTiros,LocalFaltas,VisitFaltas,Resultado,FTG,Corner10,Ambos,UO_0.5,UO_1.5,UO_2.5,UO_3.5,UO_4.5
0,1.0,2.4,2.3,0.9,0.1,0.0,1.4,1.5,5.6,6.7,3.8,7.8,10.4,7.3,0,3,1,0,1,1,1,0,0
1,2.5,1.2,0.8,1.9,0.1,0.1,1.8,2.5,6.8,3.5,6.7,3.8,10.3,11.8,1,3,1,1,1,1,1,0,0
2,1.4,1.5,1.5,2.4,0.1,0.1,1.9,2.1,7.1,4.2,5.2,3.4,13.3,10.4,0,2,1,1,1,1,0,0,0
3,1.6,1.3,1.4,2.5,0.1,0.0,1.9,1.8,7.1,4.1,5.9,3.0,11.5,11.7,1,5,1,1,1,1,1,1,1
4,1.2,1.3,0.9,1.9,0.0,0.1,1.7,2.2,5.1,5.3,5.0,4.9,11.1,10.7,0,1,1,0,1,0,0,0,0
5,1.0,1.1,3.0,1.7,0.2,0.1,2.5,1.7,4.1,3.9,3.8,3.8,11.0,12.0,0,1,0,0,1,0,0,0,0
6,2.6,1.5,1.2,1.7,0.1,0.1,1.7,2.4,5.9,6.3,6.5,4.5,9.8,10.6,1,6,1,1,1,1,1,1,1
7,1.5,1.9,1.8,1.8,0.1,0.1,1.9,2.5,4.8,5.2,4.5,4.9,9.1,11.5,0,4,-1,1,1,1,1,1,0
8,2.3,1.9,1.4,1.3,0.1,0.2,2.4,2.1,6.1,6.5,6.5,5.4,10.6,12.3,0,2,-1,1,1,1,0,0,0
9,1.6,1.3,1.5,1.8,0.0,0.1,1.9,2.6,7.8,3.1,6.1,3.9,9.6,12.7,1,1,1,0,1,0,0,0,0
10,1.4,0.8,1.6,2.5,0.1,0.1,1.5,2.4,4.3,3.4,3.9,3.0,10.7,11.3,1,3,1,1,1,1,1,0,0
11,1.6,1.4,1.3,1.6,0.1,0.1,1.9,2.7,5.9,4.9,4.5,4.6,9.5,11.1,0,3,0,0,1,1,1,0,0
12,2.6,1.4,0.9,2.1,0.1,0.1,1.4,2.3,8.6,5.4,9.2,4.6,12.0,13.3,1,4,1,1,1,1,1,1,0
13,1.4,1.3,1.6,1.8,0.1,0.1,2.6,2.8,5.2,3.8,4.4,5.0,12.4,10.3,0,5,-1,1,1,1,1,1,1
14,2.0,1.4,1.4,1.6,0.1,0.1,2.1,2.3,7.2,4.1,6.4,4.1,10.9,11.3,1,2,1,0,1,1,0,0,0
15,2.7,1.9,0.8,2.1,0.1,0.0,1.2,2.3,8.2,4.3,6.8,4.7,7.8,10.4,1,1,-1,0,1,0,0,0,0
16,2.5,0.9,1.5,1.7,0.1,0.1,2.5,2.4,6.0,4.6,5.5,3.5,11.2,13.0,1,4,1,0,1,1,1,1,0
17,1.6,1.7,1.5,1.9,0.1,0.1,1.9,3.1,4.7,4.6,4.5,4.8,10.2,12.8,1,4,1,1,1,1,1,1,0
18,1.9,2.3,1.4,0.7,0.1,0.1,1.9,1.5,5.4,6.7,5.1,5.3,12.0,10.3,0,1,-1,0,1,0,0,0,0
19,2.3,1.3,1.4,2.5,0.1,0.0,2.4,1.8,6.1,4.1,6.5,3.0,10.6,11.7,1,3,0,0,1,1,1,0,0
20,1.4,1.9,1.5,1.8,0.1,0.1,1.9,2.5,7.1,5.2,5.2,4.9,13.3,11.5,0,2,-1,0,1,1,0,0,0
21,2.5,1.3,0.8,1.9,0.1,0.1,1.8,2.2,6.8,5.3,6.7,4.9,10.3,10.7,0,4,1,1,1,1,1,1,0
22,1.5,1.1,1.8,1.7,0.1,0.1,1.9,1.7,4.8,3.9,4.5,3.8,9.1,12.0,0,2,1,1,1,1,0,0,0
23,1.2,1.3,0.9,1.8,0.0,0.1,1.7,2.6,5.1,3.1,5.0,3.9,11.1,12.7,0,1,-1,0,1,0,0,0,0
24,1.6,1.2,1.5,1.9,0.0,0.1,1.9,2.5,7.8,3.5,6.1,3.8,9.6,11.8,1,5,1,1,1,1,1,1,1
25,1.6,1.5,1.4,2.4,0.1,0.1,1.9,2.1,7.1,4.2,5.9,3.4,11.5,10.4,0,4,1,1,1,1,1,1,0
26,1.0,1.5,2.3,1.7,0.1,0.1,1.4,2.4,5.6,6.3,3.8,4.5,10.4,10.6,0,4,0,1,1,1,1,1,0
27,1.0,2.4,3.0,0.9,0.2,0.0,2.5,1.5,4.1,6.7,3.8,7.8,11.0,7.3,0,3,1,1,1,1,1,0,0
28,2.6,1.9,1.2,1.3,0.1,0.2,1.7,2.1,5.9,6.5,6.5,5.4,9.8,12.3,0,3,1,1,1,1,1,0,0
29,1.5,1.5,1.9,2.4,0.0,0.1,1.9,2.1,6.6,4.2,4.4,3.4,11.6,10.4,0,3,1,1,1,1,1,0,0
30,1.0,0.9,3.0,1.7,0.2,0.1,2.5,2.4,4.1,4.6,3.8,3.5,11.0,13.0,0,4,0,1,1,1,1,1,0
31,1.5,1.4,1.8,2.1,0.1,0.1,1.9,2.3,4.8,5.4,4.5,4.6,9.1,13.3,0,4,-1,1,1,1,1,1,0
32,1.0,1.9,2.3,1.8,0.1,0.1,1.4,2.5,5.6,5.2,3.8,4.9,10.4,11.5,0,7,1,1,1,1,1,1,1
33,2.3,1.2,1.4,1.9,0.1,0.1,2.4,2.5,6.1,3.5,6.5,3.8,10.6,11.8,0,1,-1,0,1,0,0,0,0
34,2.7,1.3,0.8,1.9,0.1,0.1,1.2,2.2,8.2,5.3,6.8,4.9,7.8,10.7,1,6,-1,1,1,1,1,1,1
35,1.6,1.9,1.4,2.1,0.1,0.0,1.9,2.3,7.1,4.3,5.9,4.7,11.5,10.4,1,4,-1,1,1,1,1,1,0
36,1.9,1.3,1.4,1.8,0.1,0.1,1.9,2.6,5.4,3.1,5.1,3.9,12.0,12.7,1,5,-1,1,1,1,1,1,1
37,2.6,1.5,0.9,1.7,0.1,0.1,1.4,2.4,8.6,6.3,9.2,4.5,12.0,10.6,1,3,0,0,1,1,1,0,0
38,2.5,1.4,0.8,1.6,0.1,0.1,1.8,2.3,6.8,4.1,6.7,4.1,10.3,11.3,1,4,1,1,1,1,1,1,0
39,1.4,1.9,1.6,1.3,0.1,0.2,2.6,2.1,5.2,6.5,4.4,5.4,12.4,12.3,0,4,-1,1,1,1,1,1,0
40,2.5,1.1,1.5,1.7,0.1,0.1,2.5,1.7,6.0,3.9,5.5,3.8,11.2,12.0,1,4,-1,1,1,1,1,1,0
41,1.6,1.3,1.3,2.5,0.1,0.0,1.9,1.8,5.9,4.1,4.5,3.0,9.5,11.7,1,1,-1,0,1,0,0,0,0
42,1.6,1.3,1.5,1.8,0.0,0.1,1.9,2.8,7.8,3.8,6.1,5.0,9.6,10.3,0,4,-1,1,1,1,1,1,0
43,2.0,0.8,1.4,2.5,0.1,0.1,2.1,2.4,7.2,3.4,6.4,3.0,10.9,11.3,1,3,1,1,1,1,1,0,0
44,1.6,2.4,1.5,0.9,0.1,0.0,1.9,1.5,4.7,6.7,4.5,7.8,10.2,7.3,0,4,1,1,1,1,1,1,0
45,2.6,1.4,1.2,1.6,0.1,0.1,1.7,2.7,5.9,4.9,6.5,4.6,9.8,11.1,1,1,1,0,1,0,0,0,0
46,1.4,1.7,1.5,1.9,0.1,0.1,1.9,3.1,7.1,4.6,5.2,4.8,13.3,12.8,0,0,-1,0,0,0,0,0,0
47,1.2,2.3,0.9,0.7,0.0,0.1,1.7,1.5,5.1,6.7,5.0,5.3,11.1,10.3,0,1,1,0,1,0,0,0,0
